name,team_long_name,date,buildUpPlaySpeed,buildUpPlayDribbling,buildUpPlayPassing,buildUpPlayPositioningClass,chanceCreationShooting,defencePressure,defenceAggression
Belgium Jupiler League,Royal Excel Mouscron,2015-09-10 00:00:00,50,50,50,Organised,50,45,45
Italy Serie A,Carpi,2014-09-19 00:00:00,32,46,31,Organised,54,46,44
Italy Serie A,Carpi,2015-09-10 00:00:00,80,45,65,Organised,50,25,55
Portugal Liga ZON Sagres,FC Arouca,2014-09-19 00:00:00,69,66,39,Organised,46,35,37
Portugal Liga ZON Sagres,FC Arouca,2015-09-10 00:00:00,65,66,39,Organised,46,37,39
France Ligue 1,AC Arles-Avignon,2010-02-22 00:00:00,50,,65,Organised,30,30,50
France Ligue 1,AC Arles-Avignon,2011-02-22 00:00:00,50,,65,Organised,35,25,45
France Ligue 1,AC Arles-Avignon,2012-02-22 00:00:00,23,,33,Organised,43,44,32
France Ligue 1,AC Arles-Avignon,2013-09-20 00:00:00,41,,48,Organised,43,39,43
France Ligue 1,AC Arles-Avignon,2014-09-19 00:00:00,39,48,54,Organised,43,44,53
France Ligue 1,AC Arles-Avignon,2015-09-10 00:00:00,56,46,54,Organised,43,48,53
Spain LIGA BBVA,Real Valladolid,2010-02-22 00:00:00,55,,40,Organised,60,30,65
Spain LIGA BBVA,Real Valladolid,2011-02-22 00:00:00,54,,55,Organised,62,43,52
Spain LIGA BBVA,Real Valladolid,2012-02-22 00:00:00,55,,54,Organised,41,51,50
Spain LIGA BBVA,Real Valladolid,2013-09-20 00:00:00,55,,54,Organised,41,51,50
Spain LIGA BBVA,Real Valladolid,2014-09-19 00:00:00,55,44,54,Organised,41,51,50
Spain LIGA BBVA,Real Valladolid,2015-09-10 00:00:00,43,40,65,Organised,57,47,40
Spain LIGA BBVA,Hércules Club de Fútbol,2010-02-22 00:00:00,40,,30,Organised,70,35,35
Spain LIGA BBVA,Hércules Club de Fútbol,2011-02-22 00:00:00,54,,55,Organised,59,48,58
Spain LIGA BBVA,Hércules Club de Fútbol,2012-02-22 00:00:00,53,,54,Organised,60,50,52
Spain LIGA BBVA,Hércules Club de Fútbol,2013-09-20 00:00:00,53,,54,Organised,60,50,52
Spain LIGA BBVA,Hércules Club de Fútbol,2014-09-19 00:00:00,53,47,54,Organised,60,50,52
Germany 1. Bundesliga,VfB Stuttgart,2010-02-22 00:00:00,70,,30,Organised,70,65,50
Germany 1. Bundesliga,VfB Stuttgart,2011-02-22 00:00:00,64,,48,Organised,56,45,56
Germany 1. Bundesliga,VfB Stuttgart,2012-02-22 00:00:00,50,,42,Organised,48,47,44
Germany 1. Bundesliga,VfB Stuttgart,2013-09-20 00:00:00,59,,41,Organised,65,47,52
Germany 1. Bundesliga,VfB Stuttgart,2014-09-19 00:00:00,54,61,53,Organised,48,46,54
Germany 1. Bundesliga,VfB Stuttgart,2015-09-10 00:00:00,59,55,41,Organised,48,41,44
Spain LIGA BBVA,Elche CF,2010-02-22 00:00:00,30,,30,Organised,70,50,45
Spain LIGA BBVA,Elche CF,2011-02-22 00:00:00,43,,39,Organised,46,40,39
Spain LIGA BBVA,Elche CF,2012-02-22 00:00:00,55,,73,Organised,57,49,51
Spain LIGA BBVA,Elche CF,2013-09-20 00:00:00,55,,73,Organised,57,49,51
